CUSTOMERID,FIRSTNAME,LASTNAME,GENDER,DATEOFBIRTH,EMAIL,ADDRESS,CITY,STATE,ZIPCODE,COUNTRY,LOYALTYPROGRAMID
1,Bruce,Morris,M,1963-02-20,amy73@example.net,"2444 Crystal Fall Apt. 072, Katherinechester  KS 99492",Browntown,North Carolina,06687,Sri Lanka,5
2,Lisa,Wilson,M,1975-01-06,ryanlove@example.net,"173 Amy Ferry, Lake Amandaview  FL 91151",Williamsstad,Louisiana,19192,Taiwan,4
3,James,Nguyen,Not Specified,1968-04-06,gonzalesjulie@example.org,"5347 Mckenzie Fall, Rileyview  TN 81681",Codyberg,Virginia,62290,Jordan,1
4,Justin,Strong,Not Specified,1938-10-13,oknight@example.net,"60390 Moody Mall Suite 125, Hernandezview  MO 38200",East Garretttown,Virginia,79541,Zambia,2
5,Joshua,Cameron,F,1935-09-11,alyons@example.com,"4704 Crosby Valley Apt. 985, Davidmouth  MH 62040",Cookbury,Tennessee,23996,Turkey,3
7,Alan,Aguilar,Not Specified,1991-09-19,erichansen@example.org,"PSC 2912  Box 5232, APO AE 76081",Duanefurt,Oregon,75063,Lebanon,3
8,Paul,Wagner,Not Specified,1973-07-19,boyleleslie@example.net,"47182 Daniel Greens Suite 213, West Jeffrey  RI 50877",New Timothy,Indiana,12240,Austria,1
9,Caleb,Juarez,M,1993-01-15,wlamb@example.net,"5032 Richardson Mountain, Lake Sharonton  SD 69885",East Laura,Pennsylvania,15150,Belgium,2
10,Michelle,Gill,Not Specified,1983-11-24,jamesbrock@example.com,"PSC 0467  Box 9332, APO AA 60161",Rhondastad,Ohio,35984,Bhutan,5
11,James,Harris,F,1971-06-20,ecastillo@example.org,"PSC 9146  Box 4264, APO AE 41740",East Larrymouth,Maine,45791,Paraguay,2
12,Kathleen,Ford,F,1944-05-15,vjimenez@example.net,"91154 Victor Pass Apt. 051, Heidiville  NC 65544",North Andreafort,Washington,95947,Falkland Islands (Malvinas),5
13,Morgan,Marshall,Not Specified,1999-11-06,hogancassandra@example.com,"91661 Allen Radial Suite 554, Port Ronaldchester  CO 63513",New Shannon,Pennsylvania,16090,North Macedonia,5
14,Jeremy,Orozco,F,1924-04-12,fernando19@example.com,"280 Douglas Alley, Webbchester  CT 55051",Christinaland,Indiana,87192,United Arab Emirates,3
15,Paul,Garner,F,1976-01-11,kristopher76@example.com,"5211 Chase Land Suite 323, Wheelerborough  MD 74824",Lake Shelia,Arkansas,17400,Svalbard & Jan Mayen Islands,3
16,Katherine,Castro,M,2008-02-05,maria84@example.org,"USS Bradley, FPO AE 69128",Hardymouth,Maine,93075,Malaysia,3
17,Timothy,Hart,Not Specified,1997-01-25,christine52@example.net,"435 Collins Loop, South Rhondaborough  CO 73292",Howardchester,South Dakota,61574,Oman,3
19,Brittney,Baker,F,1959-04-26,christopher74@example.com,"021 Smith Lake Suite 439, Rodriguezborough  VI 86542",Port Georgebury,Vermont,93986,Korea,2
20,Caleb,Smith,M,2011-01-05,campbellrobert@example.com,"713 Sarah Row, East Andrea  MN 09296",New Daniel,Colorado,71508,France,2
21,Kristin,Mejia,Others,1933-08-23,anne95@example.com,"2841 Miller Wall, New David  HI 20992",Denisemouth,Idaho,23187,Aruba,4
22,Michael,Mcdonald,Others,2009-06-25,vmckinney@example.net,"5694 Jeremy Extension, South Benjamin  GA 98701",Woodton,Delaware,22563,Iran,2
23,Meghan,Johnson,Others,1910-03-26,hbutler@example.org,"Unit 3750 Box 5300, DPO AA 25915",New Robertport,Oklahoma,43452,Panama,4
